"#","Reel","Match","V","C","Dur","Source In","Source Out","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"57","","","V1","C","","01:13:00:23","01:13:42:23","01:20:22:21","01:21:04:21","Media Sync 2021-02-10-21:31:15","","01:00:00:00","01:51:30:08","00:51:30:08","","30.000","","nge","","",""
"58","","","A1","C","","01:13:00:23","01:13:42:23","01:20:22:21","01:21:04:21","Media Sync 2021-02-10-21:31:15","","01:00:00:00","01:51:30:08","00:51:30:08","","30.000","","nge","","",""
"60","","","V1","C","","01:14:19:01","01:14:56:19","01:21:40:29","01:22:18:17","Media Sync 2021-02-10-21:31:15","","01:00:00:00","01:51:30:08","00:51:30:08","","30.000","","nge","","",""
"61","","","A1","C","","01:14:19:01","01:14:56:19","01:21:40:29","01:22:18:17","Media Sync 2021-02-10-21:31:15","","01:00:00:00","01:51:30:08","00:51:30:08","","30.000","","nge","","",""
"62","","","V1","C","","01:03:41:25","01:04:47:25","01:23:38:29","01:24:44:29","Media Sync 2021-02-10-21:31:15","","01:00:00:00","01:51:30:08","00:51:30:08","","30.000","","nge","","",""
"63","","","A1","C","","01:03:41:25","01:04:47:25","01:23:38:29","01:24:44:29","Media Sync 2021-02-10-21:31:15","","01:00:00:00","01:51:30:08","00:51:30:08","","30.000","","nge","","",""
"64","","","V1","C","","01:15:40:06","01:16:20:03","01:25:31:10","01:26:11:07","Media Sync 2021-02-10-21:31:15","","01:00:00:00","01:51:30:08","00:51:30:08","","30.000","","nge","","",""
"65","","","A1","C","","01:15:40:06","01:16:20:03","01:25:31:10","01:26:11:07","Media Sync 2021-02-10-21:31:15","","01:00:00:00","01:51:30:08","00:51:30:08","","30.000","","nge","","",""
"66","","","V1","C","","01:10:11:17","01:10:57:09","01:26:56:05","01:27:41:27","Media Sync 2021-02-10-21:31:15","","01:00:00:00","01:51:30:08","00:51:30:08","","30.000","","nge","","",""
"67","","","A1","C","","01:10:11:17","01:10:57:09","01:26:56:05","01:27:41:27","Media Sync 2021-02-10-21:31:15","","01:00:00:00","01:51:30:08","00:51:30:08","","30.000","","nge","","",""
"68","","","V1","C","","01:17:25:28","01:18:03:05","01:28:08:12","01:28:45:19","Media Sync 2021-02-10-21:31:15","","01:00:00:00","01:51:30:08","00:51:30:08","","30.000","","nge","","",""
"69","","","A1","C","","01:17:25:28","01:18:03:05","01:28:08:12","01:28:45:19","Media Sync 2021-02-10-21:31:15","","01:00:00:00","01:51:30:08","00:51:30:08","","30.000","","nge","","",""
"70","","","V1","C","","01:19:33:28","01:20:40:17","01:30:16:12","01:31:23:01","Media Sync 2021-02-10-21:31:15","","01:00:00:00","01:51:30:08","00:51:30:08","","30.000","","nge","","",""
"71","","","A1","C","","01:19:33:28","01:20:40:17","01:30:16:12","01:31:23:01","Media Sync 2021-02-10-21:31:15","","01:00:00:00","01:51:30:08","00:51:30:08","","30.000","","nge","","",""
"72","","","V1","C","","01:23:12:03","01:23:39:01","01:33:36:09","01:34:03:07","Media Sync 2021-02-10-21:31:15","","01:00:00:00","01:51:30:08","00:51:30:08","","30.000","","nge","","",""
"73","","","A1","C","","01:23:12:03","01:23:39:01","01:33:36:09","01:34:03:07","Media Sync 2021-02-10-21:31:15","","01:00:00:00","01:51:30:08","00:51:30:08","","30.000","","nge","","",""
"74","","","V1","C","","01:26:46:03","01:27:30:18","01:37:28:17","01:38:13:02","Media Sync 2021-02-10-21:31:15","","01:00:00:00","01:51:30:08","00:51:30:08","","30.000","","nge","","",""
"75","","","A1","C","","01:26:46:03","01:27:30:18","01:37:28:17","01:38:13:02","Media Sync 2021-02-10-21:31:15","","01:00:00:00","01:51:30:08","00:51:30:08","","30.000","","nge","","",""
"76","","","V1","C","","01:30:09:05","01:31:02:26","01:40:47:05","01:41:40:26","Media Sync 2021-02-10-21:31:15","","01:00:00:00","01:51:30:08","00:51:30:08","","30.000","","nge","","",""
"77","","","A1","C","","01:30:09:05","01:31:02:26","01:40:47:05","01:41:40:26","Media Sync 2021-02-10-21:31:15","","01:00:00:00","01:51:30:08","00:51:30:08","","30.000","","nge","","",""
"78","","","V1","C","","00:00:00:00","00:01:09:11","01:48:13:13","01:49:22:24","Compound Clip 1","","00:00:00:00","00:01:09:11","00:01:09:11","","30.000","","nge","","",""
"79","","","A1","C","","00:00:00:00","00:01:09:11","01:48:13:13","01:49:22:24","Compound Clip 1","","00:00:00:00","00:01:09:11","00:01:09:11","","30.000","","nge","","",""
"81","","","V1","C","","01:41:14:21","01:41:52:19","01:51:37:21","01:52:15:19","Media Sync 2021-02-10-21:31:15","","01:00:00:00","01:51:30:08","00:51:30:08","","30.000","","nge","","",""
"82","","","A1","C","","01:41:14:21","01:41:52:19","01:51:37:21","01:52:15:19","Media Sync 2021-02-10-21:31:15","","01:00:00:00","01:51:30:08","00:51:30:08","","30.000","","nge","","",""
"83","","","V1","C","","01:43:16:03","01:43:53:13","01:53:29:23","01:54:07:03","Media Sync 2021-02-10-21:31:15","","01:00:00:00","01:51:30:08","00:51:30:08","","30.000","","nge","","",""
"84","","","A1","C","","01:43:16:03","01:43:53:13","01:53:29:23","01:54:07:03","Media Sync 2021-02-10-21:31:15","","01:00:00:00","01:51:30:08","00:51:30:08","","30.000","","nge","","",""
"85","","","V1","C","","01:44:58:15","01:45:38:15","01:55:04:13","01:55:44:13","Media Sync 2021-02-10-21:31:15","","01:00:00:00","01:51:30:08","00:51:30:08","","30.000","","nge","","",""
"86","","","A1","C","","01:44:58:15","01:45:38:15","01:55:04:13","01:55:44:13","Media Sync 2021-02-10-21:31:15","","01:00:00:00","01:51:30:08","00:51:30:08","","30.000","","nge","","",""
"87","","","V1","C","","01:48:16:03","01:49:05:13","01:58:58:17","01:59:47:27","Media Sync 2021-02-10-21:31:15","","01:00:00:00","01:51:30:08","00:51:30:08","","30.000","","nge","","",""
"88","","","A1","C","","01:48:16:03","01:49:05:13","01:58:58:17","01:59:47:27","Media Sync 2021-02-10-21:31:15","","01:00:00:00","01:51:30:08","00:51:30:08","","30.000","","nge","","",""
"89","","","V1","C","","01:00:29:05","01:00:31:14","02:02:39:08","02:02:41:17","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"90","","","A1","C","","01:00:29:05","01:00:31:14","02:02:39:08","02:02:41:17","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"91","","","V1","C","","01:00:29:05","01:00:31:14","02:02:41:17","02:02:43:26","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"92","","","A1","C","","01:00:29:05","01:00:31:14","02:02:41:17","02:02:43:26","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"93","","","V1","C","","01:00:38:10","01:00:40:16","02:02:43:26","02:02:46:02","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"94","","","A1","C","","01:00:38:10","01:00:40:16","02:02:43:26","02:02:46:02","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"95","","","V1","C","","01:00:48:27","01:00:52:11","02:02:46:02","02:02:49:16","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"96","","","A1","C","","01:00:48:27","01:00:52:11","02:02:46:02","02:02:49:16","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"97","","","V1","C","","01:00:57:12","01:01:00:15","02:02:49:16","02:02:52:19","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"98","","","A1","C","","01:00:57:12","01:01:00:15","02:02:49:16","02:02:52:19","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"99","","","V1","C","","01:01:10:02","01:01:14:12","02:02:52:19","02:02:56:29","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"100","","","A1","C","","01:01:10:02","01:01:14:12","02:02:52:19","02:02:56:29","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"101","","","V1","C","","01:01:35:09","01:01:37:12","02:02:56:29","02:02:59:02","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"102","","","A1","C","","01:01:35:09","01:01:37:12","02:02:56:29","02:02:59:02","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"103","","","V1","C","","01:01:41:07","01:01:43:06","02:02:59:02","02:03:01:01","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"104","","","A1","C","","01:01:41:07","01:01:43:06","02:02:59:02","02:03:01:01","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"105","","","V1","C","","01:01:48:26","01:01:51:23","02:03:01:01","02:03:03:28","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"106","","","A1","C","","01:01:48:26","01:01:51:23","02:03:01:01","02:03:03:28","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"107","","","V1","C","","01:02:02:04","01:02:05:25","02:03:03:28","02:03:07:19","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"108","","","A1","C","","01:02:02:04","01:02:05:25","02:03:03:28","02:03:07:19","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
